,번호,부스번호,주 전시품목,홈페이지,회사명
58,116,,블루투스 이어폰,www.partron.co.kr,(주)파트론
59,115,,FUSION (자동차용 비전컴퓨팅 솔루션),www.funzin.co.kr,(주)펀진
60,114,,모바일 싱글,www.hongbog.com,(주)홍복
61,113,,MR.H 무선 헤드폰 타입 3차원 오디오 플레이어,www.whoborn.net,(주)후본
62,112,,카프리,www.4SMapper.com,4S Mapper
63,111,,테스트용 단말기,www.geri.re.kr,구미전자정보기술원
64,110,,엘파롯시,www.trastem.co.kr,기켄트라스템(주)
65,109,,대형카본 3D프린터,"www.ninelabs,co.kr",나인랩스
66,108,,스마트-X 솔루션,www.rockwonitglobal.com,녹원정보기술(주)
67,107,,아이박스,iibox.net/,누누
68,106,,AR 포토카드 키오스크,https://www.my-photo.kr,드래곤미디어
69,105,,스마트안전가방,,레이데코
70,104,,뮤보,www.robotmubo.com,로보디바인
71,103,,모바일기반 ATM,www.lottepsnet.com/,롯데피에스넷(주)
72,102,,펀브러시,www.funbrush.co.kr,루나소사이어티(유)
73,101,,라이브 음성 공유 솔루션 - 보이스싱스,www.luitechnology.com,루이테크놀로지
